PERMNO,date,TICKER,VOL,RET,ALTPRC,RETX
17778,1997-02-28,BRK,34,0.020115,35500.00000,0.020115
17778,1997-03-31,BRK,35,0.019718,36200.00000,0.019718
17778,1997-04-30,BRK,49,0.049724,38000.00000,0.049724
17778,1997-05-30,BRK,45,0.131579,43000.00000,0.131579
17778,1997-06-30,BRK,48,0.097674,47200.00000,0.097674
17778,1997-07-31,BRK,25,0.000000,47200.00000,0.000000
17778,1997-08-29,BRK,35,-0.120763,41500.00000,-0.120763
17778,1997-09-30,BRK,29,0.079518,44800.00000,0.079518
17778,1997-10-31,BRK,30,-0.024554,43700.00000,-0.024554
17778,1997-11-28,BRK,24,0.036613,45300.00000,0.036613
17778,1997-12-31,BRK,24,0.015453,46000.00000,0.015453
17778,1998-01-30,BRK,40,0.093478,50300.00000,0.093478
17778,1998-02-27,BRK,40,0.109344,55800.00000,0.109344
17778,1998-03-31,BRK,68,0.204301,67200.00000,0.204301
17778,1998-04-30,BRK,39,0.020833,68600.00000,0.020833
17778,1998-05-29,BRK,42,0.030612,70700.00000,0.030612
17778,1998-06-30,BRK,102,0.107567,78305.00000,0.107567
17778,1998-07-31,BRK,126,-0.104719,70105.00000,-0.104719
17778,1998-08-31,BRK,72,-0.137009,60500.00000,-0.137009
17778,1998-09-30,BRK,132,-0.014876,59600.00000,-0.014876
17778,1998-10-30,BRK,135,0.082215,64500.00000,0.082215
17778,1998-11-30,BRK,61,0.052713,67900.00000,0.052713
17778,1998-12-31,BRK,170,0.030928,70000.00000,0.030928
17778,1999-01-29,BRK,143,-0.071429,65000.00000,-0.071429
17778,1999-02-26,BRK,95,0.093846,71100.00000,0.093846
17778,1999-03-31,BRK,95,0.004219,71400.00000,0.004219
17778,1999-04-30,BRK,61,0.070028,76400.00000,0.070028
17778,1999-05-28,BRK,61,-0.057592,72000.00000,-0.057592
17778,1999-06-30,BRK,48,-0.043056,68900.00000,-0.043056
17778,1999-07-30,BRK,60,-0.015893,67805.00000,-0.015893
17778,1999-08-31,BRK,45,-0.053167,64200.00000,-0.053167
17778,1999-09-30,BRK,72,-0.143302,55000.00000,-0.143302
17778,1999-10-29,BRK,88,0.161818,63900.00000,0.161818
17778,1999-11-30,BRK,78,-0.103286,57300.00000,-0.103286
17778,1999-12-31,BRK,104,-0.020942,56100.00000,-0.020942
17778,2000-01-31,BRK,69,-0.087344,51200.00000,-0.087344
17778,2000-02-29,BRK,174,-0.140625,44000.00000,-0.140625
17778,2000-03-31,BRK,179,0.300000,57200.00000,0.300000
17778,2000-04-28,BRK,110,0.036713,59300.00000,0.036713
17778,2000-05-31,BRK,73,-0.011804,58600.00000,-0.011804
17778,2000-06-30,BRK,65,-0.081911,53800.00000,-0.081911
